,train,val,test
TCGA-A7-A6VV-01Z-00-DX1.07AE0E16-A883-4C86-BC74-4E13081175F2,True,False,False
TCGA-A2-A0T1-01Z-00-DX1.CD1E9C46-18A3-466B-AA0B-24F3055FA851,True,False,False
TCGA-BH-A0B9-01Z-00-DX1.C23ADB4C-52D4-4DFD-B8E3-156E43F0E645,True,False,False
TCGA-A2-A0ET-01Z-00-DX1.41E86BB9-EA52-4615-94E7-0F09DDB094F4,True,False,False
TCGA-BH-A0EE-01Z-00-DX1.872EA586-25C8-4835-A138-152DFA1EBF30,True,False,False
TCGA-C8-A26Z-01Z-00-DX1.1A15D951-F3BD-4024-91DD-E7633C09A837,True,False,False
TCGA-GM-A2DN-01Z-00-DX1.593003B0-BA87-486B-B472-D6B85867D54D,True,False,False
TCGA-E2-A109-01Z-00-DX1.FCF5E9FC-F9FE-4F5F-96DD-5628E2609BEF,True,False,False
TCGA-AO-A0J5-01Z-00-DX1.20C14D0C-1A74-4FE9-A5E6-BDDCB8DE7714,True,False,False
TCGA-AN-A0FF-01Z-00-DX1.A23982C3-E0EB-4DB2-84EE-26E0005E3F66,True,False,False
TCGA-BH-A0H9-01Z-00-DX1.8AE869C6-5C78-4D52-AC8B-5B6FD5FD91AA,True,False,False
TCGA-D8-A1JE-01Z-00-DX1.714805A1-E337-46DA-88D9-6CE4B4E3C2D0,True,False,False
TCGA-E2-A14O-01Z-00-DX1.432DB252-35D4-4B02-B0A7-39BF85A38F89,True,False,False
TCGA-A2-A3XV-01Z-00-DX1.4B58B7CD-B3F6-4C31-863F-924D291EF17C,True,False,False
TCGA-LL-A7SZ-01Z-00-DX1.4DAF6421-6A1D-41C8-BFD6-859FE10CB8CC,True,False,False
TCGA-BH-A0HI-01Z-00-DX1.89DB9F79-0DCC-4C65-831E-96AE026C2C4E,True,False,False
TCGA-GM-A2DC-01Z-00-DX1.39F956BB-52D0-4385-9923-4D7D36D78862,True,False,False
TCGA-A8-A08S-01Z-00-DX1.C0E044C2-FC3F-4E3D-A779-A725FF375F21,True,False,False
TCGA-AO-A126-01Z-00-DX1.D9D6AA15-32F0-44BD-AF30-36191784FFA2,True,False,False
TCGA-C8-A1HK-01Z-00-DX1.A15F452B-1260-4106-86D1-05F00082F0CE,True,False,False
TCGA-C8-A134-01Z-00-DX1.78D10BCC-98B3-4587-897D-3E27DA28D2EB,True,False,False
TCGA-B6-A0IQ-01Z-00-DX1.662EA039-825E-41FF-91D6-021EB0E099BD,True,False,False
TCGA-A2-A0T2-01Z-00-DX1.29A5C4C8-6AE8-44EE-98C2-ACBCBFBE9D60,True,False,False
TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71,True,False,False
TCGA-E2-A1IK-01Z-00-DX1.25C554BB-AA90-4FF4-9D68-EEC899B8A27D,True,False,False
TCGA-E2-A1IE-01Z-00-DX1.D6BF29A7-4FBD-4F7D-B093-991FA0F49FE8,True,False,False
TCGA-B6-A0RH-01Z-00-DX1.33DB5CF9-AC87-435B-A8AF-C4F84BEF15F1,True,False,False
TCGA-E2-A1IU-01Z-00-DX1.E2F24814-24BA-4158-8841-F27A8E100589,True,False,False
TCGA-AR-A252-01Z-00-DX1.2E7EE069-A0B8-489B-A2F0-3175FB58F468,True,False,False
TCGA-AN-A0FL-01Z-00-DX1.20A041C6-A306-4599-A7D1-65032A252AA9,True,False,False
TCGA-AO-A0JG-01Z-00-DX1.FA785D56-B4FF-4CC3-A631-5C748E8E0558,True,False,False
TCGA-C8-A273-01Z-00-DX1.6E5D581F-DF80-478D-82D1-6D6525EED1B5,True,False,False
TCGA-AQ-A54N-01Z-00-DX1.E53271E9-AFD2-4071-9B1E-CD05F63B8136,True,False,False
TCGA-AN-A0FW-01Z-00-DX1.5EEDFC71-6ABE-4189-8C45-2127403A8F04,True,False,False
TCGA-E2-A1B1-01Z-00-DX1.7C8DF153-B09B-44C7-87B8-14591E319354,True,False,False
TCGA-A8-A095-01Z-00-DX1.97072E53-7323-4836-9D58-22B7C346A7CE,True,False,False
TCGA-A8-A099-01Z-00-DX1.B19C28B5-FEBC-49B4-A60E-E6B85BB00DD7,True,False,False
TCGA-A8-A093-01Z-00-DX1.1C8056D1-11CD-482D-9A23-3A9D1B4E63F0,True,False,False
TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E,True,False,False
TCGA-A2-A0YC-01Z-00-DX1.F01F2268-17D8-45FD-8917-FD89454D0709,True,False,False
TCGA-A8-A086-01Z-00-DX1.E5FD8C53-2068-4018-B3C0-08EED253ACD2,True,False,False
TCGA-AR-A0TS-01Z-00-DX1.2DB81A2E-16C1-4EE0-8175-65FA46768277,True,False,False
TCGA-A8-A06U-01Z-00-DX1.56070AB9-A73E-44B8-8051-D93E8F881BBE,True,False,False
TCGA-A8-A06T-01Z-00-DX1.BA8B8FC3-6169-48C1-BE1F-37F140CB4D3B,True,False,False
TCGA-A2-A0D4-01Z-00-DX1.35E43827-DABC-4685-A62A-333672923349,True,False,False
TCGA-A8-A09K-01Z-00-DX1.41B2DF5F-C0E1-43BB-BAA5-2946A9EC4650,True,False,False
TCGA-A2-A0CL-01Z-00-DX1.5342E971-DCD2-42C4-B4FF-E6942A95829E,True,False,False
TCGA-A7-A13D-01Z-00-DX2.8165A362-6A08-4BFD-9428-7EEB6C59D7F1,True,False,False
TCGA-C8-A1HE-01Z-00-DX1.83A5D816-E3A6-46B8-B1B8-B31486EB686E,True,False,False
TCGA-D8-A1JF-01Z-00-DX1.224EDA43-F822-4A88-814A-BA7D4C60F8CC,True,False,False
TCGA-AR-A251-01Z-00-DX1.E91E357A-3AD4-4F79-A698-05F0B21A37EC,True,False,False
TCGA-E2-A15C-01Z-00-DX1.26E13415-1D37-43C7-9EBB-4411BE7FCE10,True,False,False
TCGA-BH-A18L-01Z-00-DX1.01D6E3EF-6857-4CC6-BEA1-0BBC1A0B728F,True,False,False
TCGA-GM-A2DK-01Z-00-DX1.4F81A585-9549-454C-8E15-2E4545795460,True,False,False
TCGA-A2-A04X-01Z-00-DX1.E01A4522-67B3-4FEF-BD6B-99DFED9E7C85,True,False,False
TCGA-B6-A1KF-01Z-00-DX1.2E08E830-4216-4CD0-9646-1F489300E11D,True,False,False
TCGA-A2-A3XZ-01Z-00-DX1.B7A1344E-7015-4A21-B3D4-EB760161BE7C,True,False,False
TCGA-AN-A0FS-01Z-00-DX1.104368C2-28DA-4E43-8B27-78336AD5ABC8,True,False,False
TCGA-E9-A22H-01Z-00-DX1.0ee39fd1-b077-40ea-bd0d-8a3db474fdd5,True,False,False
TCGA-AO-A0J4-01Z-00-DX1.2EFC978E-8DF5-4254-9598-C0910B17C5C8,True,False,False
TCGA-AR-A24R-01Z-00-DX1.47D79205-63E7-43E6-A513-2CD10DFA53C9,True,False,False
TCGA-B6-A0RI-01Z-00-DX1.E39951A4-AC6A-4B07-851B-F35CB86D79AA,True,False,False
TCGA-C8-A275-01Z-00-DX1.44D27E67-4DD6-4893-B38A-01E48F5A358A,True,False,False
TCGA-D8-A27M-01Z-00-DX1.3020D223-2400-4A2D-8BFE-08A5B78FE13B,True,False,False
TCGA-BH-A1F5-01Z-00-DX1.9A1AA3BB-80B1-473D-B075-8D65A94C4E0B,True,False,False
TCGA-BH-A0AY-01Z-00-DX1.A1153465-D9B3-4D83-BE85-F2524B071EE5,True,False,False
TCGA-A8-A08L-01Z-00-DX1.0FC652B1-336D-4198-93FE-58D2214866D3,True,False,False
TCGA-A7-A4SD-01Z-00-DX1.677152B3-17B2-42DB-AEEC-C9509ACCE831,True,False,False
TCGA-Z7-A8R6-01Z-00-DX1.CE4ED818-D762-4324-9DEA-2ACB38B9B0B9,True,False,False
TCGA-EW-A1PF-01Z-00-DX1.9420D058-65CE-4DF8-815F-EB407003096E,True,False,False
TCGA-LL-A740-01Z-00-DX1.757D94A5-EF0F-4A0E-99A9-8809B66438DA,True,False,False
TCGA-AO-A0JI-01Z-00-DX1.4DCDA545-B7E3-49DF-AB10-963E84BEB105,True,False,False
TCGA-AR-A24U-01Z-00-DX1.220FD0D0-0DB6-4E3C-92A0-66CD6509F0AD,True,False,False
TCGA-E2-A14X-01Z-00-DX1.24ADDA43-F127-4A6B-9AAD-2FAD982A853D,True,False,False
TCGA-GM-A2DH-01Z-00-DX1.5790F15F-2A0F-4929-8FE4-18A557007989,True,False,False
TCGA-A8-A076-01Z-00-DX1.BAAC4F9C-0C04-42FB-95F4-D765305089B8,True,False,False
TCGA-E9-A244-01Z-00-DX1.4FDAA892-9DBF-4E5D-89F3-2A84C8AC8F0A,True,False,False
TCGA-BH-A18G-01Z-00-DX1.DB2B5819-CE83-4E07-BD03-2CD9CF2E246C,True,False,False
TCGA-A7-A26J-01Z-00-DX1.86A92FBD-F346-4206-A1BE-0CBA1596135F,True,False,False
TCGA-E2-A10C-01Z-00-DX1.29A2B20B-29C6-4491-ADAB-0584C772EF25,True,False,False
TCGA-E2-A15D-01Z-00-DX1.AA5AF847-3635-4BAF-AAC3-BADB4A1B2CB1,True,False,False
TCGA-D8-A143-01Z-00-DX1.4697FB2F-91D5-4506-AF23-7DE304D44A3F,True,False,False
TCGA-BH-A1FH-01Z-00-DX1.F90A691F-B6DB-4C4A-9975-9A2CB01F29E2,True,False,False
TCGA-D8-A1JT-01Z-00-DX1.F278C419-E405-4BDA-BA50-BFBA08801168,True,False,False
TCGA-BH-A0GZ-01Z-00-DX1.9AD4F493-A0A9-499D-B667-B33333FC1A51,True,False,False
TCGA-AR-A0TU-01Z-00-DX1.2CBBDDAB-C1DD-4205-A555-431542F9C069,True,False,False
TCGA-A8-A07G-01Z-00-DX1.37E8A762-8141-4BE6-935A-B3DCB712BB4A,True,False,False
TCGA-E9-A1RH-01Z-00-DX1.CC9CEDCC-7BF2-4C96-A0F1-C98071DA2CD3,True,False,False
TCGA-BH-A1FL-01Z-00-DX1.D3E9F46E-9A28-4AAE-8C87-D6F1851227A3,True,False,False
TCGA-BH-A5J0-01Z-00-DX1.73CFBC85-8449-48FF-86F8-D4D49A90498B,True,False,False
TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46,True,False,False
TCGA-E2-A152-01Z-00-DX1.B0860DEB-D34B-4C5D-97F5-C1C646437424,True,False,False
